Complexity,Loss,Equation
1,0.00106461,"0.10432522"
2,9.31746e-5,"sqrt(x1)"
4,3.4365097e-5,"sqrt(x1 * 1.156857)"
5,3.3882447e-5,"sin(sqrt(x1 / 0.8599052))"
6,2.7798207e-5,"sqrt((x1 * x0) * 0.30460498)"
7,2.7311999e-5,"sin(sqrt((x1 * x0) * 0.30620897))"
8,2.6927612e-5,"sin(sin(sqrt(x1 * (x0 * 0.30620897))))"
9,2.437629e-5,"sin(sqrt((x1 * x0) * 0.37343153) - x1)"
11,2.0716143e-5,"sqrt(x1) + ((1.1938767 + sin(-0.034127403 / x1)) * x1)"
12,2.0715219e-5,"sin(x1 * (sin(-0.034127403 / x1) + 1.1938767)) + sqrt(x1)"
13,1.7308525e-5,"sqrt(x1) + (sqrt(sin(-0.036147326 / x1) + exp(x1)) * x1)"
14,1.6618707e-5,"((x1 * 0.76162803) * (sin(-0.035162225 / x1) + log(x0))) + sqrt(x1)"
15,1.6547281e-5,"(((sin(-0.035162225 / x1) + log(x0)) * x1) * 0.7875468) + sin(sqrt(x1))"
16,1.5324415e-5,"sqrt(x1) + (((cos(x0) + 1.3919721) * x1) * (sin(-0.039902683 / x1) + 1.3918848))"
17,1.44198875e-5,"sqrt(x1) + (((log(x0) + sin(-0.035162225 / x1)) * sin(exp(sqrt(x0)))) * x1)"
18,1.40243665e-5,"sqrt(x1) + sin(((log(x0) + sin(-0.036745798 / x1)) * sin(exp(sqrt(x0)))) * x1)"
20,1.330752e-5,"(x1 * ((sin(-0.035162225 / x1) + log(x0)) * (x1 + exp(cos(x0 + 0.54741806))))) + sqrt(x1)"
