Complexity,Loss,Equation
1,0.0028413564,"0.1724854"
3,0.0001604905,"x1 ^ 0.37267202"
4,5.619025e-5,"sqrt(x1 * 3.1595001)"
5,5.3019125e-5,"sin(sqrt(x1 * 3.205338))"
6,2.7142018e-5,"log((x1 ^ 0.07212205) * 1.6780257)"
8,1.2954363e-5,"sin(-0.6640565 - ((x1 ^ 0.19394088) + 2.2519426))"
12,1.2923197e-5,"sin((-0.6640565 - ((x1 ^ 0.19394088) + 2.2519426)) - (x1 * x1))"
14,1.2869776e-5,"sin((-0.6640565 - ((x1 ^ 0.19394088) + 2.2519426)) - (x1 * (0.5739051 * 0.072850615)))"
15,1.285346e-5,"sin(-0.6640565 - (((x1 ^ 0.19394088) + 2.2519426) - (x1 - (x1 / cos(0.20736971)))))"
16,1.2579901e-5,"sin(sin(sin(sin(-0.6635207 - ((x1 ^ 0.19474344) + (inv(0.758625 ^ x1) * 2.2514026))))))"
17,1.2194414e-5,"sin(sin(sin(sin(-0.6635207 - ((x1 ^ 0.19474344) + (((x0 ^ x1) ^ 0.194424) * 2.2514026))))))"
18,1.2192539e-5,"sin(sin(sin(sin(-0.6635207 - ((((x0 ^ x1) ^ 0.194424) * 2.2514026) + (sin(x1) ^ 0.19474344))))))"
